nome,url,preço,local,hora,data
Moto z play,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/moto-z-play-658395239?xtmc=celular&xtnp=1&xtcr=1,R$ 550,"Rio de Janeiro, Marechal Hermes",14:05,Hoje
Celular Iphone 4s 8 gigas,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/celular-iphone-4s-8-gigas-658393291?xtmc=celular&xtnp=1&xtcr=2,R$ 250,"Rio de Janeiro, Jardim Carioca",14:04,Hoje
IPhone 8 de 64 gigas.IMPECÁVEL,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-8-de-64-gigas-impecavel-658389229?xtmc=celular&xtnp=1&xtcr=3,R$ 2.600,"Rio de Janeiro, Tijuca",14:03,Hoje
S10,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/s10-658388490?xtmc=celular&xtnp=1&xtcr=4,R$ 2.200,"Rio de Janeiro, Anchieta",14:02,Hoje
IPhone 5C 32GB Verde,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-5c-32gb-verde-658388115?xtmc=celular&xtnp=1&xtcr=5,R$ 380,"Rio de Janeiro, Olaria",14:02,Hoje
Mi A2,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/mi-a2-658387604?xtmc=celular&xtnp=1&xtcr=6,R$ 750,"Rio de Janeiro, Tauá",14:02,Hoje
Vendo Samsung Galaxy J5,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/vendo-samsung-galaxy-j5-658384773?xtmc=celular&xtnp=1&xtcr=7,R$ 320,"Rio de Janeiro, Penha Circular",14:01,Hoje
J8,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/j8-658384722?xtmc=celular&xtnp=1&xtcr=8,R$ 900,"Rio de Janeiro, Penha",14:01,Hoje
Samsung J6 plus + aceito cartão,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/samsung-j6-plus-aceito-cartao-658383703?xtmc=celular&xtnp=1&xtcr=9,R$ 600,"Rio de Janeiro, Freguesia (Ilha do Governador)",14:01,Hoje
Iphone 7 Rose,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-7-rose-658381415?xtmc=celular&xtnp=1&xtcr=10,R$ 1.500,"Rio de Janeiro, Vigário Geral",14:00,Hoje
Xiaomi Mi 8 R$850,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/xiaomi-mi-8-r-850-658380508?xtmc=celular&xtnp=1&xtcr=11,R$ 500,"Rio de Janeiro, Costa Barros",13:59,Hoje
Moto E5 plus R$500,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/moto-e5-plus-r-500-658380466?xtmc=celular&xtnp=1&xtcr=12,R$ 500,"Rio de Janeiro, Costa Barros",13:59,Hoje
Moto G5 R$300,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/moto-g5-r-300-658380250?xtmc=celular&xtnp=1&xtcr=13,R$ 300,"Rio de Janeiro, Costa Barros",13:59,Hoje
Galaxy A7 câmera tripla muito novo,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/galaxy-a7-camera-tripla-muito-novo-658380281?xtmc=celular&xtnp=1&xtcr=14,R$ 900,"Rio de Janeiro, Colégio",13:59,Hoje
Vendo j3 perfeito,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/vendo-j3-perfeito-658379858?xtmc=celular&xtnp=1&xtcr=15,R$ 250,"Rio de Janeiro, Vila Isabel",13:59,Hoje
IPhone 5s,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-5s-658379555?xtmc=celular&xtnp=1&xtcr=16,R$ 330,"Rio de Janeiro, Colégio",13:59,Hoje
Venda,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/venda-658378065?xtmc=celular&xtnp=1&xtcr=17,R$ 1.500,"Rio de Janeiro, Ramos",13:58,Hoje
Moto G6 Plus,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/moto-g6-plus-658377424?xtmc=celular&xtnp=1&xtcr=18,R$ 650,"Rio de Janeiro, Vila Isabel",13:58,Hoje
Moto G5 32 GB,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/moto-g5-32-gb-658373555?xtmc=celular&xtnp=1&xtcr=19,R$ 1,"Rio de Janeiro, Vigário Geral",13:56,Hoje
Iphone 7 32 gb + Apple Watch série 2 Nike 42mm,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-7-32-gb-apple-watch-serie-2-nike-42mm-658372690?xtmc=celular&xtnp=1&xtcr=20,R$ 2.700,"Rio de Janeiro, Madureira",13:56,Hoje
Asus zenfone 2 551 ml,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/asus-zenfone-2-551-ml-658372293?xtmc=celular&xtnp=1&xtcr=21,R$ 130,"Rio de Janeiro, Piedade",13:56,Hoje
IPhone 7 128GB Rose zero com garantia Apple,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-7-128gb-rose-zero-com-garantia-apple-658372227?xtmc=celular&xtnp=1&xtcr=22,R$ 1.700,"Rio de Janeiro, Engenho de Dentro",13:56,Hoje
Motorola G6 impecável troco,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/motorola-g6-impecavel-troco-658370194?xtmc=celular&xtnp=1&xtcr=23,,"Rio de Janeiro, Costa Barros",13:55,Hoje
Lenovo A5 aparelho zero na caixa.,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/lenovo-a5-aparelho-zero-na-caixa-658369546?xtmc=celular&xtnp=1&xtcr=24,R$ 600,"Rio de Janeiro, Jardim Carioca",13:55,Hoje
Capa da Samsung Cover Azul leia,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/capa-da-samsung-cover-azul-leia-658369058?xtmc=celular&xtnp=1&xtcr=25,R$ 40,"Rio de Janeiro, Grajaú",13:55,Hoje
Moto g5s plus,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/moto-g5s-plus-658368842?xtmc=celular&xtnp=1&xtcr=26,R$ 430,"Rio de Janeiro, Vigário Geral",13:55,Hoje
Apple Watch Série 3 - 42 mm: Usado,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/apple-watch-serie-3-42-mm-usado-658368575?xtmc=celular&xtnp=1&xtcr=27,R$ 1.499,"Rio de Janeiro, Praça da Bandeira",13:55,Hoje
Moto G6 play,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/moto-g6-play-658368216?xtmc=celular&xtnp=1&xtcr=28,R$ 600,"Rio de Janeiro, São Cristóvão",13:55,Hoje
IPhone 8 256GB zero na Caixa,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-8-256gb-zero-na-caixa-658368005?xtmc=celular&xtnp=1&xtcr=29,R$ 1.900,"Rio de Janeiro, Tauá",13:54,Hoje
K10 32gb,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/k10-32gb-658368008?xtmc=celular&xtnp=1&xtcr=30,R$ 400,"Rio de Janeiro, Guadalupe",13:54,Hoje
Display touch lcd motorola one action,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/display-touch-lcd-motorola-one-action-658362582?xtmc=celular&xtnp=1&xtcr=31,R$ 599,"Rio de Janeiro, Ricardo de Albuquerque",13:52,Hoje
A5,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/a5-658362074?xtmc=celular&xtnp=1&xtcr=32,R$ 200,"Rio de Janeiro, Piedade",13:52,Hoje
Galaxy s9 plus,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/galaxy-s9-plus-658361782?xtmc=celular&xtnp=1&xtcr=33,R$ 2.000,"Rio de Janeiro, Del Castilho",13:52,Hoje
Moto G4 Play Celular Com TV Digital (Ótimo Estado),https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/moto-g4-play-celular-com-tv-digital-otimo-estado-658358977?xtmc=celular&xtnp=1&xtcr=34,R$ 280,"Rio de Janeiro, Madureira",13:51,Hoje
